Q1 - age,Q2 - race/ethnicity,Q3 - freshman,Q4 - live on campas,Q5 - international student,Q6 - experienced nonconsensual sexual contact by another student,Q7 - How does the information about the Title IX Mandate make you feel?,"Q8 - After viewing the video about the Title IX Mandate, how do you think you would behave if you were to experience nonconsensual sexual contact by another student?",Q9 - Who would you tell if you were to experience nonconsensual sexual contact?,"Q10 - How do you believe the Title IX Mandate would affect your decision to ask for help from CARE (victim advocacy), Student Health, or Counseling Services if you were to experience nonconsensual sexual contact?","Q11 - How do you want Resident Assistants, professors, and student employees of the university to handle your private information if you tell them you experienced nonconsensual sexual contact?",Q12 - How might the Title IX Mandate to report nonconsensual sexual contact affect your relationship with your friends and other students?,Q13 - How does the Title IX Mandate affect your safety within the campus community?,Q14 - Which university employees are not required to report information about nonconsensual sexual contact to a Title IX Coordinator?,Q15 - Which university employees are required to report information about nonconsensual sexual contact to a Title IX Coordinator?,Q16 - What living and classroom arrangements do you believe the university should make for the student who experiences nonconsensual sexual contact by another student?,Q17 - What should the university do to or for the student who is suspected of causing nonconsensual sexual contact to another student?,"Q18 - If you were to experience nonconsensual sexual contact caused by another student, how would you feel about telling that student how his or her actions affected you if a professionally trained counselor were there to help you through it?",Q19 - What does an ideal campus community look like to you?,Q20 - What can you and other students do to create and maintain an ideal campus community?, ,,,,,,,,,,,,,
18 years old,White / Caucasian,Yes,Yes,Yes,No,I'm generally against the idea of mandatory disclosure. It makes me feel like the mandate is designed to protect schools more than it's designed to do what's best for survivors of assault.,I would talk to the CARE office.,Friends and the CARE office.,"I would have to go to the CARE office, despite the fact that I may be more comfortable sharing my experience with an RA or a professor I trust than total strangers. I like the CARE office, but I should have the option of telling people I trust without them having to tell anyone else.",They would be required to tell a Title IX coordinator,I don't think it would affect my relationship with other students.,"I think it lessens my safety in the campus community, because there are scenarios in which my story and my experience could be reported without my consent. It is a further infringement on my agency and control over my life than the rape already has been.","Friends,Health Care Providers,Victim Advocates,Mental Health Counselors","Resident Assistants,Professors,Peer Educators,,, ","I think students should have the option of being moved to another living area or class if their attacker is in their residence hall or class. Ideally, the attacker should be moved, but this would be difficult to enforce because the attack would have to be proven, which is often impossible.","They should be prohibited from contacting or interacting with the victim of their assault. This should only happen, however, if the victim
wishes it.
wishes it.","I would want to tell them exactly how I felt about them with the protection of a counselor, but I wouldn't want that to be required or mandatory.","One in which a survivor has complete control over reporting their experiences, if not one where nobody is forced to deal with sexual
assault at all.",We should hold each other accountable for our actions and make sexual assault as detestable of an action in social settings as it is in stranger-in-the-bushes scenarios., ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,I am glad to know that laws are in place to help and protect victims of sexual assault.,I would ensure they are prosecuted to the fullest extent of the law,"I would go straight to the police, because they are the most capable of handling situations of this nature",I appreciate fulfilling the desire of students to keep information confidential if they don't wish to press charges,"I understand and approve do the fact that they must report any instances they are informed of, as it is much better to let professionals handle any issue of sexual assault",I would feel much safer talking to a professional than to one of my friends or a fellow student.,It makes me feel safer knowing that there are resources available on campus to help me,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Victim Advocates, , , ",If the student lives near or has classes with their attacker I feel they should be allowed to choose different living or classroom arrangements," The university should do nothing to this student, because they are not the police. The police should be the ones who perform any sort of
questioning of these students. False accusations do happen and should not be allowed to interrupt the lives of innocent students",I would be perfectly happy to give that student a piece of my mind,"Better food on campus, no one rapes anyone.",Mutual respect is the most important part of any ideal community. Treat everyone with the respect they deserve., , ,,, ,,, ,,, ,,,COMPLETE
18 years old,White / Caucasian,Yes,Yes,No,No,Somewhat confused. The wording at times for the mandate seemed stragne,I would talk to a counselor and an RA,My RA or a Counselor,I would definitely still go.,Keep it as private as possible but I would like to be able to prosecute asap if I wanted to,I would most likely not tell them and those who know about it would most likely support me no matter what,I feel pretty safe either way but that may be because i'm a man,"Friends,Health Care Providers,Victim Advocates,","Peer Educators,Mental Health Counselors,,Resident Assistants,Professors,","There should be none made unless the student is brought into direct contact with their aggressor. However, their aggressor should be prosecuted", Suspension or expulsion, I would not be able to remain civil most likely, Cooperative and kind, BE nurturing caring and understanding to other students, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,Respondent skipped this question,I would feel uncomfortable,my RA,It would encourage it,However the victim sees fit,it could make me feel uncomfortable,encourages action against,"Friends,Peer Educators,Mental Health Counselors,","Health Care Providers,,, ,,",whatever it takes to make them comfortable, fair trial, be truthful, uncw,teamwork, ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel more aware of certain situations.,I would first be in contact with that person and get the logistics of the situations. Then take any actions I seem necessary.,I would tell the counselor to be a disclosed case at first.,If i feel like it was deemed necessary I would contact them and see what my next steps should be.,They would take action and not keep it disclosed.,It would make it more aware and not disclosed.,It greatly affects my safety in dealing with sexual conduct.,"Health Care Providers,Victim Advocates,Mental Health Counselors,","Resident Assistants,Professors,Friends , ,,",I think it should be up to the students digression on what to do next. Whatever the person seems necessary., Question him and see if the case if evident. Seeing if everything adds up file the necessary consequences., I would feel safe and confident in my actions to tell them., An ideal campus is a safe place to get an education and to have fun., Be aware of your surroundings and take necessary precautions., , ,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,I am not sure,"I think that forcing people to report things to higher up authorities especially for situations where they simply don't remember having sex which in my mind doesn't classify actual rape or sexual assault, it just perpetuates the hyper sensitive rape culture where a girl merely has to point her finger and the guy involved is practically assumed guilty until proven innocent.","Just last weekend I got drunk to the point where I have no recollection of what happened and was told that I evidently had sex with a girl. I didn't want to do that. I have a girlfriend. If it was the girl my friends were talking about I saw her earlier at the party and pushed off her advances. And yet I got intoxicated to the point where I was only semi-conscious and throwing up and was taken advantage of. Do I feel deeply violated or traumatized? Not really. I wasn't assaulted or physically forced to do anything, I was just too intoxicated to know that anything was happening. People have sex all the time, the only thing that I am actually worried about it possible STI's and so I will go and get checked.",I mentioned it to my friends but it's not something that is worth mentioning to anyone higher up in part for the very reasons outlined in the video and my responses to the previous questions.,"If you feel the need to report something that happened to you then you should be ready to have whoever you tell know about it. The people who are being told about it higher up don't know who you are, and you don't know you, and they are required to not tell anyone else, and so for that matter it should make a difference. If ther","Not tell anyone else unless I let them, but ultimately once you tell someone else the information it's entirely their choice as to if they tell other people or not.",I don't think it would.,I suppose in theory it should make you feel safer but either way it doesn't really impact my perception of safety either way.,"Friends,Victim Advocates,Peer Educators,","Resident Assistants,Professors,Health Care Providers, ,,","It seems to me that it should be up to the student who was ""victimized""."," Nothing. It should be something that is left up the law, because the persecution system currently in place in the hyper-sensitive social
atmosphere has caused to many false accusations to be persecuted successfully. Just look at the UVA-rollingstone rape situation as a
perfect example."," I wouldn't need a personally trained counselor, and the other student likely wouldn't have even known what they were doing so the
situation would be rather inappropriate overall.", People who all feel comfortable with each other and around each other., All be responsible and respectful for ourselves and others., , ,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel safer knowing how Title IX works and how it protects students.,"If I experienced nonconsensual sexual contact by another student I would feel confused, but I would know that I coulde asily get help.",I would go to the counseling center on campus and talk about the experience confidential.,The Title IX Mandate would make me feel safe asking for help because I know that everything is confidential and for my own good.,They should keep all information private and confidential.,"It wouldn't really affect relationships with friends because they aren't required to report the information. Although, it could create some problems between the friend group.",It improves campus safety by making it easier to get help in the case that it is ever needed.,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Victim Advocates,Mental Health Counselors,,",There should be some kind of restraining order between the student who experienced the misconduct and the student who conducted it.,They should reach out to them and ask them questions then proceed with an investigation if charges want to be pressed.,I probably wouldn't want to talk to that person ever again.," An ideal campus to me is a campus where everyone can feel safe and comfortable around one and other. I'm not sure students would
report any misconduct to staff if the staff are then required to report it themselves. Maybe some changes should be made to the
mandate.", Keep any private information that you here to yourself but always report it to staff. Don't gossip between friends., ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,Comfortable,Not tell anyone,No one,Respondent skipped this question,To keep it confidential,You might tell your friends instead of an RA or professor.,Respondent skipped this question,"Friends,Health Care Providers,Victim Advocates,","Resident Assistants,Professors,Victim Advocates,Peer Educators,,",Respondent skipped this question,Talk with them,Respondent skipped this question, Respondent skipped this question, Respondent skipped this question, ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It is a little concerning that Title IX doesn't allow for confidentiality but I can see the need for the director to be involved.,I can make no speculation as to my feelings after being sexually assaulted.,Probably just my doctor.,I would definitely go to any of them before I go to someone who has to report the incident.,I wouldn't want them to tell anyone without my consent.,It would not.,I wouldn't be able to tell you what it has done for me.,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Peer Educators,Mental Health Counselors,,",In order to assist the student in the most confidential way possible I would suggest that victims be given counseling if they want it., Remove them from the university., I wouldn't need a counselor to give that bastard a piece of my mind., One where the people don't do shitty things to one and other., Not be shitty people, ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,That students have a multitude of resources for reporting nonconsentual sex.,"I'd talk to my friends and that student then decide whether or not I wanted to seek any further action.,",The first people would be my close friends than possibly care.,I feel just as inclined to go to care,keep it between myself and the employee unless I give them permission.,I don't think it will affect my friendships at all,I think a clear path of communication between people will make the campus safer for everyone,"Health Care Providers,Victim Advocates,,","Resident Assistants,Professors,Peer Educators, ,,",I think students should remain in the same building/go to the same classes but should be allowed some time to cope," Investigate and then take legal action if necessary, expulsion from the school", I'd prefer to approach the person myself and explain how their actions affected me, A campus where people care about one another's well being and working together to make the best environment possible, Speak up if we see things as well as being the support system a victim might need, , ,,, ,,, ,,, ,,,
18 years old,Asian / Pacific Islander,Respondent skipped this question,Yes,No,No,makes me feel safe that if this were to happened to me I have a way to take legal action.,I would go straight to the counseling center knowing that what happened to me would be handled in a professional matter,My friends and a officer/ counselor,it would make be more inclined to go,in a professional matter and yet by being sympathetic as well.,"it would not at all, if anything it would strengthen our bond",it makes me safer as I now have options and paths to take if I were to be assulted,"Friends,,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors",they should be seated away from their assaulter, Keep an eye on them as you cant do much without actual evidence., I would feel scared, A campus that despite its flaws still runs smoothly, Keep fulfilling our duties as students, ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,I don't know.,I would try to move on with my life.,Maybe friends.,I would seek help.,I want them to handle it privately.,I hope it would not.,I feel safer.,"Friends,Victim Advocates,Mental Health Counselors,","Resident Assistants,Professors,Health Care Providers,Peer Educators,,",They should have easy access to care and counseling., He or she should face consequences or punishment, I would confront the person directly., One where there is minimal sexual harassment, Spread awareness and practice consensual sex., ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,I feel as though it's a good thing.,I would probably go to my health care provider.,my mom.,It wouldn't.,I think they report everything.,It wouldn't.,It makes me less safe.,"Professors,Peer Educators,,","Resident Assistants,,Professors,Victim Advocates, , ",none, report the situation to the police, That situation would be very awkward and I wouldn't do it, One where everyone is treated equally because we are all little butterflies;,Just let yourself be, ,,,, ,,, ,,, ,,,
19 years old,Black or African American,Yes,Yes,No,No,I makes me feel disturbed as I did not know it was as big of an issue as it is.,I think I would probably behave differently by being more quiet as I would probably constantly be thinking about what happened.,"I think I would probably tell my friends first and then maybe my mom, but not my dad as he would definitely not handle the situation very well.",I think it would help as I would know I could tell someone from the health center without fear of them exposing me.,I would just simply want them to consult me before they did anything with it.,I don't think it will effect me in that way.,I feel it does not effect my safety neither negatively or positively.,"Friends,Victim Advocates,,","Resident Assistants,,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors",I do not think they should change anything as they will feel more alienated,nothing,uncomfortable,one that is full of love and honesty,be kind, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,This video really opened my eyes at how difficult it would be to have to tell even your closest friends about being sexually assaulted.,I think I would have a very hard time telling others if this happened to me.,I would probably just tell my best friend and a doctor on campus.,Yes I would definitely go there.,I would want them to do everything they could to make sure I was safe and keep my name anonymous.,My friends might consider me a victim.,I think it does a great job protecting us and keeping us safe.,"Resident Assistants,Professors,Health Care Providers,Peer Educators,Mental Health Counselors","Health Care Providers,Mental Health Counselors,, ,,",I think they should help the student in anyway they can. It may include therapy or something else., They should fine a restraining order or charge them., I don't think I'd be able to talk to that person., One where the student feels safe, Look out for one anther, ,,,, ,,, ,,, ,,,
18 years old,Black or African American,Yes,Yes,No,I am not sure,It made me realize how this astounding stuff can happen everyday and no one notices it,I would feel weird but I would help put a stop to it!,"I would tell my parents first off, then my RA on campus or any other person who can seek me help",I think they would be a great amount of help to me at the moment or any time,With care and help me through the pain,"It wouldn't at all, I'm perfectly fine with it",It helps me know that we're safe and anything can happen at anytime though,"Friends,,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors",I think it soley depends on the person and how they handle the situation,Take them in and ask the victim if that's the person and then move onto the next step of handling it,"I wouldn't feel bad about it, I would have to tell someone",Everyone being joyous and happy among the campus and no worries or problems throughout the community," By letting people know right off the back that if they ever need anything we can be there for them to talk to us or if they needed us to
help them through it", ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,I'm always just shocked at how unaware I am that stuff like this happens on campus.,I think I would talk to a trusted adult that I knew personally before I went to any of the on campus resources,"A trusted adult and if there were physical ramifications such as an STI or STD, then I would go to a doctor",I wouldn't think they could help me the most,Handle it privately along with me and address my wishes as well,I would feel like an outcast from campus,I feel like it would take away your choice,"Resident Assistants,Friends,Health Care Providers,Mental Health Counselors","Professors, , ,, , ",They shouldn't have to live or be in class with their aggressor or anyone who makes them feel uncomfortable,Report them to the police. Suspend/expel them.,Uncomfortable,One that is self-sustaining and has no problems with crime,Make ourselves available to other students and lead the other students towards progress, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,"I have experienced no consensual sexual contact, but not by another student.",It makes me happy to know that other people who have experienced something similar to what I went through are getting the help they deserve.,"Since it has happened to me before, I know how to handle it properly now.",the care office.,"When it happened to me, the term ""title ix"" was frightening. But with further explanation, it didn't effect my decision to ask for help.",It's important to be nonjudgmental and professional.,It wouldn't effect a person's relationship with their friends because it's confidential.,It allows people who experience sexual assault to feel safe in their pursuit to hold the person accountable for what happened.,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Victim Advocates,Peer Educators,,",Any reasonable accommodation to help a person who is healing should be honored.," It's a grey area to me, because I know that there have been instances in which the suspected victim has lied about the assault.
However, those who have actually been sexually violent should be punished. There's no way to know who is telling the truth.",I probably wouldn't be able to face the person.,I think that uncw is the ideal campus community for me. I don't know if there is anything I would change.,Staying informed and practicing being nonjudgmental is the best way to maintain an ideal campus community., ,,,, ,,, ,,, ,,,
18 years old,Black or African American,Yes,Yes,No,I am not sure,"Safe that in case something does happen to me, the situation will be handled",I would probably be torn up but I would defiantly have options,A friend,I would definitly seek help,"Report it, probably but confidentially",It would probably bring us closer if they were supportive - which i know they would be,I feel very safe and supported,"Friends,Health Care Providers,Victim Advocates,Mental Health Counselors","Resident Assistants,Professors,Peer Educators,,,","Nothing different, so they don't experience more change",Interview them and keep them away from others,I would not want to speak with them,One where assault is non-exisitant,Bring awareness, ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,Its a necessary implement that can help a lot of people.,"While, blind confidence is not good, I wouldn't ever be in that situation because I always have people looking out for me when I go and vice versa.",Probably a friend,It would help nor hinder my decision because the severity of the situation would decide whether I go or not,I think they should do their job a report it to a higher power so they don't feel all the pressure of the situation.,It wouldn't,"While it doesn't prevent these incidents from occurring, its nice to know that if it does happen I have support.","Friends,Health Care Providers,Victim Advocates,Peer Educators","Resident Assistants,Professors,Mental Health Counselors,,,",Isolation is not good for these situations because it creates this sense of being alone so they should stay in a group pod maybe their own room would be beneficial. And if the situation is so severe that a person has to leave the University should understanding as far as grades.,Confront the student,Confident,Just Like UNCW,Be an outright person and make sure you don't put yourself in the position where you could hurt someone or be hurt by someone, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,"The specifics of the Title IX mandate are still not totally clear to me, but I know that if someone wants to keep personal information private, it should stay private.",I'd probably press charges. First I'd visit a CARE counselor or someone.,Probably CARE.,"If Title IX ensures privacy for victims, then Title IX would make me comfortable to confide in someone. If not, then the opposite would be true.",My private information should be kept private unless whoever did anything to me could potentially continue harming people.,I'm not sure it would affect my relationship with friends and students.,"I think Title IX applies exclusively to private information rights, which is an important issue; I don't think it would necessarily affect the prevalence of sex offenders.","Friends,Health Care Providers,,","Resident Assistants,,Professors,Victim Advocates,Peer Educators, ","There should probably be safety rooms, rooms to live in momentarily that are separate from regular living areas where one can sleep without fear of assault."," The student shouldn't be publicly shamed or punished, because the student may not have been aware of what happened. However,
punishment is absolutely needed- not to act as a deterrent, because that wouldn't work, but to educate students who might have been
offenders. Education is the most important part of societal reform, everyone needs to be educated on what's OK.",I wouldn't tell them anything. I'm not direct like that.,"Kind, fair, just.","Not sexually abuse people, that's for sure.", , ,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,I feel like it helps to stop the people that are forcing nonconsensual sex on other people,I would tell my RA and make sure it was handled accordingly,My RA,I believe it would affect it positively,I would want them to find the person who forced me to have sex with them and punish them,It wouldn't.,It ensures not only my safety but the safety of others by finding and holding the forcers accountable for their actions.,"Friends,Health Care Providers,,","Resident Assistants,,Victim Advocates,Peer Educators,Mental Health Counselors, ",The whole class should be moved, Get them questioned by the police and charged of guilty, I wouldn't tell them I tattled on them, No rapes, Ensure that we speak out about nincinsensual sex, , ,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,I feel that it's fine for people to tell others this helps protect you,I would seek help and medical help immediately so I can clarify things and seek help about understand.,My friends and people through the health center.,It won't really affect it I would still seek help,I want them to tell the appropriate people but keep it confidential,I feel like it may be embarrassing if others found out in a nondecrete way,It increases it with awareness,"Friends,,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors",I feel like they should be understanding and work hard to make them feel safe, Charge them because it's just as serious as rape, I would feel scared and unsure if I could control my emotions, Safe, Protect and respect each other, ,,,, ,,, ,,, ,,,
19 years old,Asian / Pacific Islander,Yes,Yes,No,No,Safe,I would go talk to a health care professional and ask to get a STD check done.,I would walk to a health care professional.,it wouldn't affect my decision that much.,To try to help me and maybe get me in contact with a helpful person.,It would not change my relationship with my friends too much.,I feel safe.,"Health Care Providers,Victim Advocates,Mental Health Counselors,","Resident Assistants,Professors,Friends ,Peer Educators,,",I believe there is no special arrangements needed., Suspend them., I would feel better., People who look out for one another.," To help each other when ever possible and if a friend needs help, connect them with someone who can help.", ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,I feel uncomfortable giving the information that I give out to people who are legally required to tell someone.,I would definitely confide in my friends.,my friends.,I feel like I would definitely try and get help if I want to take it further. It is good to have those resources there.,I wouldn't want them to tell anyone though they are legally required to.,I feel like it would strengthen my relationships because I would feel more comfortable telling them than other resources.,"I feel like I am safer because of it. Like I said, it is good to have those resources.","Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Victim Advocates, ,,",I feel like the university should make changes to both to avoid the student who initiated the nonconsensual sexual contact., The university should definitely interrogate no matter who it is., I would feel uncomfortable telling them even with the counselor there., An ideal campus community looks like a place where everyone is 100% safe.," Provide resources (like CARE, etc.)", , ,,, ,,, ,,, ,,,
19 years old,Asian / Pacific Islander,Yes,Yes,No,No,It reassures me that I have resources at my disposal in case I experience nonconsensual sexual contact.,"I would most likely go to a close friend first, then have them help me notify an official.","A counselor, health professional, or a law enforcement official",It would make the decision an easier one to make.,I would want them to handle it in confidentiality.,"I would be open to telling maybe one or two very close friends, but that's it.",It provides resources to seek due justice in sexual assault cases.,"Friends,Health Care Providers,Victim Advocates,Peer Educators","Resident Assistants,Professors,Health Care Providers,Mental Health Counselors,,",They should cater to the students needs for a comfortable living location., They should definitely address the issue with that student but without bias., I would feel safer and more comfortable., One where safety is a priority and resources are available., Have an open mind and be good listeners., , ,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,A bit unsure,I would be unsure as to what to do,A doctor,Probably not,Let them know I have the option to tell someone to press charges but not be obligated to.,My friends would support me but other students may blame me and say i wanted it.,I don't think it has that much of an affect.,"Friends,Health Care Providers,Victim Advocates,Mental Health Counselors","Resident Assistants,Professors,Peer Educators,,,",It depends on the student. Make sure they are not in the same class as their assulter or live in the same dorm (remove the assulter not the one assulted one), Look into it and expel them if they did," Unsure, scared, but i may do it.", Just a place that I can feel safe living on and walking around at night.," Make sure support systems exist, don't sweep rape or assult under the rug.
", ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,"It makes me feel more safe that people are required to tell their superiors, but uncomfortable that I have no choice in the matter.",I would not feel comfortable telling my RA knowing that it is not confidential.,Only my close friend(s).,I would not go,KEEP IT CONFIDENTIAL UNLESS I WANT SOMEONE ELSE TO KNOW,It won't,It doesn't,"Friends,Health Care Providers,Victim Advocates,","Resident Assistants,Professors,Mental Health Counselors,,, ",A change of situation that may have caused it, Suspend them until further notice, Not at all!! This would bring me face to face with my aggressor and I would feel forced into talking to them, Respondent skipped this question, Don't sexually assault people and that's basically it., , ,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,Very informed of the different options and resources,I would probably tell friends and the care office and behave calmly,Friends,It wouldn't really affect me,Professionally and privately,It wouldn't affect my relationship unless it was someone I knew who had nonconsensual sexual contact with me,It makes it safer,"Professors,Friends,Health Care Providers,Mental Health Counselors","Resident Assistants,Professors,Victim Advocates,Peer Educators,,",Depends on how they react, Do an investigation and drug test., Not at all, Safe and light up, Not drug people and be safe, , ,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel safe that there is always an option for me to go to as far as confiding goes.,I think I would talk to a close friend and ask them to take me to the health center.,I would tell a close friend and the health center.,I think it would encourage me to ask for help.,I would want them to keep it private socially but I understand the mandatory actions they need to take to tell the Title IX office.,I don't think it would affect my relationship with my friends unless I were an RA and needed to tell Title XI and they weren't comfortable with it.,I think it improves my safety.,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Peer Educators,,, ",I don't think they should make changes to the living and classroom arrangements unless requested to do so by the victim.,They should take it up with the lol or and if found guilty then removed from campus.,I would not feel comfortable doing that at all.,An ideal campus community consists of safe environments for all students and staff.,Make sure consent is given at all times., , ,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel safer if anything like this were to happen to me.,I feel as if I would report it to a trusted adult.,I would probably go to a counselor.,I would be more likely to ask for help.,I would want to keep as few people involved in it as possible.,I believe it wouldn't have an impact if we were to get help.,It guarantees that help will be given if the situation arises.,"Friends,Health Care Providers,,","Resident Assistants,,Professors,Victim Advocates,Peer Educators,Mental Health Counselors",I believe they should try to separate the people involved as much as possible.,They should hold an investigation to discover whether they are guilty or not.,I would feel uncomfortable around that person.,"A safe, beautiful place where anyone can go outside without fear of judgement or harassment.",Treat each other with respect and act like mature adults., ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,Safer because I know something will be done about sexual assault.,I honestly don't know maybe confused.,Most likely my close friend for comfort and then Go to the counseling center,It would make me not tell someone who will tell the coordinator for title IX just because I wouldn't know if I wanted to press charges.,To only use my first name until it's neccessary to use my last name.,They may call me a liar,It allows me to be in a safer environment because rape cases are being reported.,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Peer Educators,,, ",they should live and go to class in the most comfortable way for them.,Believe them and investigate to the fullest,I think I would be able to handle it but it would be hard to face them.,UNCW,Be respective together and know that no means no., , ,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel more secure with the authorities definitely supporting me.,I would most likely go to the counseling center.,A counselor or therapist.,It would make me feel like I truly have a voice and my safety matters,I would want them to handle it delitcaly and professionally.,It would make me want to make sure my friends get any help they need too.,It makes me feel secure. As if I have a body guard who is constantly looking out for me.,"Friends,Mental Health Counselors,,","Resident Assistants,,Professors,Health Care Providers,Victim Advocates,Peer Educators",They should allow them to live and go to class in a way they feel comfortable,Expoltion and criminal charges.,I would feel awkward.,"Accepting, safe, and friendly",Be respectful and care about others well being, , ,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel like I have a way to protect myself and my friends if anything were to happen,"I feel like if I did not want this to go anywhere I could tell someone, but if I did, I would have rights",My friends and CARe,I would go anyway,I would not want my employees to know,It woundn't. I expect my friends to respect me and take me seriously regardless,Makes me feel safer,"Friends,Health Care Providers,,","Resident Assistants,,Professors,Victim Advocates,Peer Educators,Mental Health Counselors",they should make every attempt to make them feel safe,expulsion,hell yea,one free of judgement,don't judge, , ,,, ,,, ,,, ,,,
18 years old,Hispanic,Yes,Yes,No,No,Not quite sure.,It would be a bit strange for other people to have to be involved.,"I would tell my friends, and the Counseling Center",I would still contact them.,I would want them to respect my privacy.,Respondent skipped this question,Respondent skipped this question,"Friends,Mental Health Counselors,,","Resident Assistants,Health Care Providers,Victim Advocates,Peer Educators,,",They should give the student anything they require in order to feel safe from the other student.,"They should determine if the student had caused harm, and if so, should be expelled.",Respondent skipped this question,A campus where everyone's rights are respected.,Respondent skipped this question, , ,,, ,,, ,,, ,,,
,,,,,,,,,,,,,,,, , , , , ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
